,DFA,RPDE,numPulses,numPeriodsPulses,locShimmer,locDbShimmer,apq3Shimmer,apq11Shimmer,ddaShimmer,meanNoiseToHarmHarmonicity
0,0.71826,0.57227,240,239,0.05883,0.517,0.03011,0.04828,0.09034,0.036223
1,0.69481,0.53966,234,233,0.05516,0.502,0.0232,0.06195,0.06961,0.017974
2,0.67604,0.58982,232,231,0.09902,0.897,0.05094,0.07772,0.15282,0.026313
3,0.79672,0.59257,178,177,0.05451,0.527,0.02395,0.04462,0.07185,0.042003
4,0.79782,0.53028,236,235,0.0561,0.497,0.02909,0.05278,0.08728,0.027139
5,0.78744,0.65451,226,221,0.07752,0.678,0.03805,0.06451,0.11415,0.137088
6,0.62145,0.54543,322,321,0.03203,0.28,0.0155,0.03274,0.0465,0.015745
7,0.62079,0.51179,318,317,0.063,0.539,0.02949,0.06445,0.08848,0.012621
8,0.61766,0.50447,318,317,0.02783,0.244,0.01376,0.02698,0.04129,0.00769
9,0.62247,0.54855,493,492,0.0567,0.512,0.02692,0.0563,0.08077,0.005538
10,0.67256,0.61745,488,487,0.06639,0.641,0.03747,0.05412,0.11241,0.017416
11,0.58326,0.44555,498,497,0.02531,0.218,0.01283,0.02256,0.03849,0.00258
12,0.78996,0.78026,492,491,0.20811,1.814,0.08936,0.27669,0.26808,0.265575
13,0.76831,0.70809,305,304,0.13878,1.326,0.0722,0.11271,0.21661,0.070261
14,0.77992,0.6918,291,290,0.13069,1.222,0.07043,0.10685,0.21129,0.049389
15,0.61483,0.33216,300,299,0.04046,0.354,0.01756,0.0469,0.05269,0.002758
16,0.62018,0.37051,286,285,0.02995,0.266,0.01211,0.03501,0.03632,0.004375
17,0.63124,0.37031,266,265,0.02734,0.241,0.01309,0.02548,0.03926,0.003428
18,0.66085,0.44583,283,282,0.0481,0.422,0.02602,0.03984,0.07806,0.009076
19,0.71199,0.36714,289,288,0.08552,0.741,0.04596,0.06201,0.13788,0.005729
20,0.62901,0.36176,292,291,0.02324,0.205,0.01087,0.02123,0.03262,0.003728
21,0.81029,0.71652,267,266,0.22066,1.891,0.09811,0.06615,0.29433,0.212443
22,0.73507,0.75672,175,165,0.13048,1.246,0.0632,0.08788,0.18961,0.377305
23,0.77921,0.6648,269,268,0.067457503,0.606084525,0.034415969,0.055173155,0.103247815,0.460579
24,0.67313,0.4662,262,261,0.03543,0.315,0.0162,0.03772,0.04859,0.016531
25,0.62426,0.47446,285,284,0.03318,0.293,0.01272,0.03957,0.03816,0.007236
26,0.62982,0.56243,289,288,0.04543,0.405,0.01974,0.04991,0.05921,0.009324
27,0.60863,0.46038,332,331,0.04009,0.348,0.02009,0.03813,0.06026,0.006663
28,0.61289,0.43513,333,332,0.05599,0.497,0.0225,0.05916,0.0675,0.005722
29,0.60437,0.39889,331,330,0.03496,0.3,0.01645,0.03794,0.04934,0.005727
30,0.66429,0.69379,212,211,0.1214,1.105,0.05649,0.12003,0.16946,0.090889
31,0.64823,0.62249,248,247,0.09149,0.817,0.03894,0.10523,0.11682,0.029798
32,0.64326,0.59772,237,236,0.0944,0.898,0.03973,0.10078,0.11919,0.028338
33,0.66846,0.26212,375,374,0.03564,0.316,0.02002,0.02589,0.06005,0.00531
34,0.64898,0.33526,292,291,0.0602,0.526,0.03478,0.04316,0.10433,0.013293
35,0.67496,0.46658,285,283,0.11166,1.002,0.06565,0.08624,0.19695,0.015301
