,mean_Log_energy,mean_MFCC_0th_coef,mean_MFCC_1st_coef,mean_MFCC_2nd_coef,mean_MFCC_3rd_coef,mean_MFCC_4th_coef,mean_MFCC_5th_coef,mean_MFCC_6th_coef,mean_MFCC_7th_coef,mean_MFCC_8th_coef,mean_MFCC_9th_coef,mean_MFCC_10th_coef,mean_MFCC_11th_coef,mean_MFCC_12th_coef,mean_delta_log_energy,mean_0th_delta,mean_1st_delta,mean_2nd_delta,mean_3rd_delta,mean_4th_delta,mean_5th_delta,mean_6th_delta,mean_7th_delta,mean_8th_delta,mean_9th_delta,mean_10th_delta,mean_11th_delta,mean_12th_delta,mean_delta_delta_log_energy,mean_delta_delta_0th,mean_1st_delta_delta,mean_2nd_delta_delta,mean_3rd_delta_delta,mean_4th_delta_delta,mean_5th_delta_delta,mean_6th_delta_delta,mean_7th_delta_delta,mean_8th_delta_delta,mean_9th_delta_delta,mean_10th_delta_delta,mean_11th_delta_delta,mean_12th_delta_delta,std_Log_energy,std_MFCC_0th_coef,std_MFCC_1st_coef,std_MFCC_2nd_coef,std_MFCC_3rd_coef,std_MFCC_4th_coef,std_MFCC_5th_coef,std_MFCC_6th_coef,std_MFCC_7th_coef,std_MFCC_8th_coef,std_MFCC_9th_coef,std_MFCC_10th_coef,std_MFCC_11th_coef,std_MFCC_12th_coef,std_delta_log_energy,std_0th_delta,std_1st_delta,std_2nd_delta,std_3rd_delta,std_4th_delta,std_5th_delta,std_6th_delta,std_7th_delta,std_8th_delta,std_9th_delta,std_10th_delta,std_11th_delta,std_12th_delta,std_delta_delta_log_energy,std_delta_delta_0th,std_1st_delta_delta,std_2nd_delta_delta,std_3rd_delta_delta,std_4th_delta_delta,std_5th_delta_delta,std_6th_delta_delta,std_7th_delta_delta,std_8th_delta_delta,std_9th_delta_delta,std_10th_delta_delta,std_11th_delta_delta,std_12th_delta_delta
0,9.1817,11.4283,8.4781,2.4874,0.02292,0.5552699999999999,-1.6334,-1.5144,0.39725,0.61775,0.091821,0.54775,-0.0068247,-0.67274,-0.001013,-7.5e-05,-0.0033637,-0.00019208,0.0013567,-0.00089961,-0.003002,0.0015484000000000001,0.005187300000000001,-0.00020542,-0.0047367,0.0024652,0.0025138,-0.0011875,-0.00017942,-0.00082784,-0.00049845,0.0013855,0.00017264,-0.00028585,0.00042833,-4.41e-05,-0.00033822,0.00043047,3.8299999999999996e-05,-0.00035615,-7.62e-05,2.6600000000000003e-05,0.34158,1.0279,0.65735,0.78036,0.30141,0.35418,0.19127,0.22891999999999998,0.3355,0.17101,0.28110999999999997,0.21511,0.16605,0.17762,0.049933,0.17226,0.089754,0.14627,0.040231,0.060808,0.030284,0.02883,0.042253,0.028114999999999998,0.04718,0.035775,0.020827000000000002,0.023056999999999998,0.016392,0.0788,0.043847000000000004,0.06641,0.021565,0.029594,0.015350999999999998,0.014641999999999999,0.019681,0.012828999999999998,0.021703,0.017089,0.010043,0.01213
1,9.6074,12.1387,8.5008,2.8986,-0.46733,0.45983999999999997,-1.3427,-1.6759,0.17695,0.72944,0.2361,0.5472199999999999,0.057552,-0.39555,-0.001849,-0.0027,-0.0026392,0.0029153,-0.0011785,-0.00077655,0.0019941,-0.00011016,-0.00064985,0.0025287,-0.00035422,-0.0029854,0.0014515,0.0025048,0.00048375,-1.24e-05,0.0013862,-0.00071687,-0.0013664000000000003,0.00016261,-0.00024127,-0.00061406,-0.00011168,-7.23e-05,0.00025242,0.00026005,0.00069057,-0.00010879,0.22994,0.9201799999999999,0.5334899999999999,0.65764,0.30758,0.38678,0.16571,0.2964,0.22641999999999998,0.16785,0.21341999999999997,0.22221999999999997,0.20581,0.2303,0.037774,0.17047,0.072764,0.15165,0.045076,0.076312,0.025376,0.050259,0.037071,0.022165999999999998,0.039070999999999995,0.030382999999999997,0.03236,0.032486,0.014222,0.087125,0.036786,0.07725599999999999,0.024058,0.038709,0.012191,0.0255,0.019374000000000002,0.010645,0.020296,0.015388999999999998,0.015488,0.016128
2,9.0512,11.3956,7.6362,3.2208,-0.48228000000000004,0.28918,-1.7334,-1.4929,0.7052,0.51173,0.16615,0.7935399999999999,0.28698,-0.64555,0.0010881999999999999,-0.0081681,0.0025423000000000004,0.007424299999999999,-0.001044,0.00017662,-0.00062159,0.00061894,-0.0026842,-0.00030378,0.0036095999999999997,0.00021663,-4.28e-06,-0.00047007,0.00035371,5.73e-05,0.00033263,0.00074097,-0.00015778,-0.00060471,2.52e-05,-0.00056663,-0.00039975,-3.72e-05,0.00027211,-3.17e-05,-0.00016631,-0.00029845,0.52574,0.9203899999999999,0.53346,0.73041,0.31337,0.44232,0.3198,0.31467,0.30139,0.21900999999999998,0.25827,0.22618000000000002,0.21208000000000002,0.212,0.10945,0.14937999999999999,0.095065,0.15179,0.045403,0.08997000000000001,0.060735000000000004,0.054611,0.051511,0.032326,0.047356999999999996,0.031811,0.036249,0.038432999999999995,0.039708999999999994,0.06879299999999999,0.040982,0.06854500000000001,0.02474,0.039222,0.025675,0.024607,0.024819,0.016553000000000002,0.023186000000000002,0.017217,0.015073,0.016257
3,9.8453,13.7399,6.7365,3.1023,0.7541899999999999,-1.5590000000000002,-1.0083,-0.65556,0.86495,1.4837,-0.15365,-0.8937799999999999,-0.75427,0.077452,-0.00072002,-0.0076002,0.001532,0.00064955,0.0012839000000000001,-0.00051613,0.0014377,0.00030993,-0.0014487,-0.00070635,0.00048745,-0.0029968000000000004,-0.0009698,0.001058,-0.00011203,0.00065284,-0.0011438,9.42e-05,0.00021784,0.00061654,-0.00082259,0.00019486,0.00026348,-0.00023155,0.00046743,0.0001028,-0.00013207,-8.01e-05,0.21181999999999998,1.0712,0.70803,0.59415,0.38868,0.27860999999999997,0.31571,0.20935,0.23498000000000002,0.24529,0.19689,0.20629,0.20626999999999998,0.25169,0.039296,0.18325999999999998,0.09935,0.072753,0.046507,0.046017,0.045901,0.035774,0.035142,0.032576999999999995,0.024291,0.0323,0.029051,0.037163999999999996,0.01556,0.074119,0.040402999999999994,0.030155,0.019441999999999997,0.018382,0.018555000000000002,0.017274,0.016128999999999998,0.015533000000000002,0.011976,0.015529,0.01377,0.015713
4,10.1542,14.7643,6.4634,2.9451,0.8321,-1.755,-1.0392,-0.51876,0.94225,1.5498,-0.20207999999999998,-1.0336,-0.88007,-0.10346,0.0019955,-0.00089137,-0.0018094,0.0042468,-0.00070423,-0.0017533000000000002,0.00091285,0.0044855,-0.0033919,-0.0010083,0.0018292000000000002,-0.0012499,-0.00075071,-0.001325,-0.00021127,-0.0014655,0.00094648,0.00036522,-0.00023541,-0.00016982,0.00064602,-0.00039793,0.00025618,0.00057599,-0.00028514,0.00017748,0.00013984,3.53e-05,0.17405,0.81706,0.43786,0.43213,0.2667,0.29672,0.1924,0.22488000000000002,0.2513,0.2209,0.17459000000000002,0.23269,0.20140999999999998,0.21294000000000002,0.028651999999999997,0.17084000000000002,0.06496,0.069561,0.046887,0.047531,0.033966,0.029720999999999997,0.033943,0.031989,0.026001999999999997,0.028222000000000004,0.030469,0.028731,0.011037,0.06991499999999999,0.026952999999999998,0.030160000000000003,0.022486000000000003,0.020515000000000002,0.017161000000000003,0.013791,0.016059,0.014381999999999999,0.012686,0.014478,0.013402,0.013618
5,9.802,13.8952,6.731,2.6799,0.9216799999999999,-1.7519,-0.85935,-0.62433,0.8361299999999999,1.5673,0.16329000000000002,-1.2148,-0.9828899999999999,0.0776,0.0033131,-0.011979,-0.0048937,0.014459999999999999,0.0012022,-0.0020664999999999998,0.00070354,0.0010693,-0.0035662,-0.004638499999999999,0.0036885999999999998,-0.00058774,-0.0019798,-0.0029586,7.7e-05,0.00018531,-0.00062064,-0.00014024,0.00040480000000000003,4.94e-05,3.52e-06,-0.00010031,-4.52e-05,-7.269999999999999e-05,0.00029446,0.00053789,0.00019735,-0.00021459999999999998,0.34404,1.1657,0.60601,0.64759,0.38587,0.33587,0.3462,0.25275,0.25531,0.27431,0.22177,0.25192,0.2278,0.24388,0.04702,0.18749000000000002,0.083566,0.094331,0.057590999999999996,0.045075,0.032892000000000005,0.035230000000000004,0.0394,0.038531,0.029726,0.03825,0.035308,0.039202999999999995,0.022028,0.08358,0.038124,0.043562000000000003,0.027266000000000002,0.024693,0.015578,0.018248,0.018580000000000003,0.017719,0.015025,0.019438,0.0177,0.018090000000000002
6,9.8604,16.8423,4.9305,0.74769,1.2562,-2.7022,-2.8799,-0.97391,1.3692,0.12046,0.8073600000000001,-0.39208000000000004,-0.9571,0.52586,-0.0017201,-0.008533200000000001,-0.0074497,0.009134,0.0011166,-0.008272,-0.0030577,0.00088843,0.00050828,0.0038155000000000003,0.0011082000000000002,0.0010195,-0.00080619,0.0022684999999999997,-2.56e-06,0.00026673,0.00019351,-0.00075769,-2.5300000000000002e-05,-5.02e-05,-9.520000000000001e-05,-0.00014727,0.00026589,-0.00019518,0.00035356,-0.00036099,-0.00024678,-4.31e-05,0.14407999999999999,0.57592,0.3811,0.3749,0.34426,0.41891999999999996,0.27716999999999997,0.28054,0.27371999999999996,0.2753,0.18529,0.2297,0.1898,0.24069000000000002,0.023464,0.068999,0.039935000000000005,0.0404,0.055512,0.043387,0.033726,0.038029,0.039633,0.029105000000000002,0.02634,0.037075,0.026557,0.026981,0.0089708,0.027222000000000003,0.016963,0.018309,0.024326,0.019952,0.017329,0.017874,0.019139,0.014555000000000002,0.013068000000000001,0.017169,0.012913999999999998,0.014208000000000002
7,9.9129,16.1057,6.8758,-0.66462,0.52793,-1.6273,-2.4404,-1.0065,0.41978999999999994,0.17039,1.0621,-0.8694299999999999,-0.9913,0.3094,0.0017727,0.008775299999999998,0.0015358,0.0027784000000000003,0.0018920000000000002,0.004392,-0.0026004,0.0020050999999999997,-0.00062247,-0.0018078,0.0014356,-0.0032622,0.0021138999999999997,0.00094678,8.44e-06,0.00044595,-0.00049365,4e-05,-0.00034206,0.00060554,-0.00033843,-0.00032082,0.00028387,0.00021403,-0.00042553,0.00027205,-0.00014377,9.109999999999999e-05,0.17331,0.71091,0.41462,0.41321,0.32391,0.3088,0.25,0.28179,0.20809,0.22966,0.22229000000000002,0.21548,0.17019,0.1696,0.027843,0.1038,0.065919,0.065032,0.039869,0.049122000000000006,0.033236,0.031145,0.032251999999999996,0.029998,0.034423,0.027202999999999998,0.022659000000000002,0.019231,0.009801299999999999,0.03914,0.029560000000000003,0.025544,0.020663,0.02166,0.014790000000000001,0.014797999999999999,0.015257,0.013645,0.014509999999999999,0.012634000000000001,0.010968,0.0097242
8,9.908999999999999,16.7174,6.4642,-1.3781,1.3395,-1.3161,-2.8526,-1.4534,0.76818,-0.013419,1.0857,-0.5776399999999999,-1.2912,0.44832,0.00018839,0.001537,-0.00072038,0.0012285,-0.0026778,0.0018133,0.0020239,-0.00099772,-0.002509,0.00023201,0.00078713,0.00048802,-0.00090491,0.00077365,-2.22e-05,-0.0007618,0.00082551,-0.00091611,0.00051199,2.2800000000000002e-05,-3.79e-05,-0.00032464,0.00028771,-0.00046252,0.0002221,-0.00021925,0.00013653,2.09e-05,0.14965,0.56705,0.41218,0.37848000000000004,0.379,0.34207,0.29972,0.24076,0.24159,0.19567,0.17526,0.1349,0.12630999999999998,0.11930999999999999,0.020956,0.061878999999999997,0.06655900000000001,0.058872,0.051512,0.045829,0.031844,0.042498,0.03997,0.032760000000000004,0.026862999999999998,0.020388999999999997,0.020324000000000002,0.016380000000000002,0.008343999999999999,0.027489999999999997,0.034841000000000004,0.027964999999999997,0.02562,0.023025,0.015222,0.020505000000000002,0.019041,0.015607,0.013336,0.010832,0.010263,0.009054799999999998
9,9.4496,12.1136,6.784,-0.034732,-1.9157,-1.7791,-1.6722,-1.8731,0.4632,0.92842,-1.2263,-1.242,-0.29561,0.20372,-0.0078822,-0.022858,0.0058924,0.006511100000000001,-0.0011145999999999999,0.004744699999999999,-0.00060037,-0.0043663,0.0016000999999999997,-0.00032958,0.00026256,0.0026620999999999997,-0.0019692,0.0017167999999999999,0.00023288,-0.00072136,2.3199999999999998e-05,-0.00047945,-0.00011479999999999999,-0.00029355,-0.00015791,-0.00014065,0.00018859,0.00061779,-0.00021014,-0.00042751,-0.00019541,-0.00062479,0.5294399999999999,1.4103,0.46205,0.43311000000000005,0.30821,0.31661999999999996,0.23881,0.42704,0.23563,0.26669,0.17501,0.20495,0.18778,0.34193,0.044514,0.11093,0.073964,0.05998,0.046618,0.030822000000000002,0.033426,0.040576999999999995,0.034707,0.044717,0.026993,0.027495,0.023431999999999998,0.033662,0.017692,0.046383,0.037196,0.023005,0.018277,0.013201,0.014997,0.019883,0.01461,0.017956,0.012766,0.01296,0.011516,0.013365
