,mean_MFCC_2nd_coef,mean_MFCC_7th_coef,mean_MFCC_10th_coef,std_MFCC_1st_coef,std_MFCC_2nd_coef,std_MFCC_6th_coef,std_MFCC_7th_coef,std_MFCC_8th_coef,std_MFCC_12th_coef,std_delta_log_energy,std_1st_delta,std_2nd_delta,std_3rd_delta,std_4th_delta,std_5th_delta,std_6th_delta,std_7th_delta,std_8th_delta,std_9th_delta
0,2.4874,0.39725,0.54775,0.65735,0.78036,0.22892,0.3355,0.17101,0.17762,0.049933,0.089754,0.14627,0.040231,0.060808,0.030284,0.02883,0.042253,0.028115,0.04718
1,2.8986,0.17695,0.54722,0.53349,0.65764,0.2964,0.22642,0.16785,0.2303,0.037774,0.072764,0.15165,0.045076,0.076312,0.025376,0.050259,0.037071,0.022166,0.039071
2,3.2208,0.7052,0.79354,0.53346,0.73041,0.31467,0.30139,0.21901,0.212,0.10945,0.095065,0.15179,0.045403,0.08997,0.060735,0.054611,0.051511,0.032326,0.047357
3,3.1023,0.86495,-0.89378,0.70803,0.59415,0.20935,0.23498,0.24529,0.25169,0.039296,0.09935,0.072753,0.046507,0.046017,0.045901,0.035774,0.035142,0.032577,0.024291
4,2.9451,0.94225,-1.0336,0.43786,0.43213,0.22488,0.2513,0.2209,0.21294,0.028652,0.06496,0.069561,0.046887,0.047531,0.033966,0.029721,0.033943,0.031989,0.026002
5,2.6799,0.83613,-1.2148,0.60601,0.64759,0.25275,0.25531,0.27431,0.24388,0.04702,0.083566,0.094331,0.057591,0.045075,0.032892,0.03523,0.0394,0.038531,0.029726
6,0.74769,1.3692,-0.39208,0.3811,0.3749,0.28054,0.27372,0.2753,0.24069,0.023464,0.039935,0.0404,0.055512,0.043387,0.033726,0.038029,0.039633,0.029105,0.02634
7,-0.66462,0.41979,-0.86943,0.41462,0.41321,0.28179,0.20809,0.22966,0.1696,0.027843,0.065919,0.065032,0.039869,0.049122,0.033236,0.031145,0.032252,0.029998,0.034423
8,-1.3781,0.76818,-0.57764,0.41218,0.37848,0.24076,0.24159,0.19567,0.11931,0.020956,0.066559,0.058872,0.051512,0.045829,0.031844,0.042498,0.03997,0.03276,0.026863
9,-0.034732,0.4632,-1.242,0.46205,0.43311,0.42704,0.23563,0.26669,0.34193,0.044514,0.073964,0.05998,0.046618,0.030822,0.033426,0.040577,0.034707,0.044717,0.026993
10,0.81669,0.12373,-0.9659,0.54936,0.47131,0.49283,0.28063,0.27727,0.21448,0.067715,0.056514,0.049342,0.058471,0.033619,0.05247,0.057786,0.031271,0.041909,0.044203
11,0.7111,0.3648,-0.60273,0.44345,0.48376,0.337,0.21891,0.26219,0.23749,0.030735,0.078578,0.072988,0.059105,0.024036,0.039582,0.057241,0.034818,0.041854,0.035158
12,3.1396,-0.23263,-0.78735,0.43175,0.4075,0.31685,0.26446,0.2344,0.29188,0.062256,0.048468,0.044117,0.054095,0.052011,0.031201,0.034186,0.035548,0.032304,0.02974
13,3.0062,-0.22014,-0.66575,0.51258,0.50167,0.26286,0.32676,0.40153,0.25253,0.045133,0.046107,0.051741,0.058807,0.04332,0.037811,0.039247,0.040451,0.032436,0.039119
14,3.8325,0.18847,-0.60712,0.49628,0.51766,0.2606,0.23349,0.23537,0.2533,0.064906,0.051918,0.065954,0.037026,0.045798,0.048065,0.039011,0.035282,0.036074,0.03587
15,1.6047,-1.1952,0.13928,0.8028,0.23092,0.46719,0.21235,0.2644,0.25115,0.020578,0.089529,0.02817,0.035177,0.028025,0.043621,0.042688,0.035103,0.031869,0.037678
16,0.72048,-0.74146,-0.12279,0.65791,0.38413,0.33489,0.42554,0.30548,0.28453,0.034632,0.084707,0.041944,0.031511,0.03502,0.042858,0.050416,0.062411,0.038199,0.032609
17,1.4756,-0.9714,0.083262,0.61569,0.30673,0.32925,0.20368,0.17179,0.23555,0.025051,0.071565,0.04235,0.040361,0.033266,0.042587,0.040655,0.023732,0.023334,0.030791
18,1.1404,-0.41223,-1.4141,0.54191,0.40607,0.34933,0.26883,0.31943,0.32669,0.033018,0.069214,0.05371,0.038723,0.036484,0.047811,0.028452,0.032881,0.037715,0.041319
19,1.3162,-0.43204,-1.3219,0.50984,0.2408,0.28252,0.28414,0.2226,0.20539,0.036656,0.079532,0.041334,0.03649,0.041464,0.02853,0.038385,0.044042,0.026959,0.03152
