f4,GNE_SNR_SEO,det_entropy_shannon_1_coef,det_entropy_shannon_2_coef,det_entropy_shannon_3_coef,det_entropy_shannon_4_coef,det_entropy_shannon_5_coef,det_entropy_shannon_6_coef,det_entropy_shannon_7_coef,det_entropy_shannon_8_coef,det_entropy_shannon_9_coef,det_entropy_shannon_10_coef,det_TKEO_mean_5_coef,det_TKEO_mean_6_coef,det_TKEO_mean_7_coef,det_TKEO_mean_8_coef,det_TKEO_mean_10_coef,det_TKEO_std_5_coef,det_TKEO_std_6_coef,det_TKEO_std_7_coef,det_TKEO_std_8_coef,det_TKEO_std_9_coef,det_TKEO_std_10_coef,app_entropy_shannon_1_coef,app_entropy_shannon_2_coef,app_entropy_shannon_3_coef,app_entropy_shannon_5_coef,app_entropy_shannon_6_coef,app_entropy_shannon_7_coef,app_entropy_shannon_8_coef,app_entropy_shannon_9_coef,app_entropy_shannon_10_coef,app_det_TKEO_mean_4_coef,app_det_TKEO_mean_6_coef,app_det_TKEO_mean_8_coef,app_det_TKEO_mean_9_coef,app_det_TKEO_mean_10_coef,app_TKEO_std_3_coef,app_TKEO_std_4_coef,app_TKEO_std_5_coef,app_TKEO_std_6_coef,app_TKEO_std_7_coef,app_TKEO_std_8_coef,app_TKEO_std_9_coef,app_TKEO_std_10_coef,app_LT_entropy_shannon_1_coef,app_LT_entropy_shannon_2_coef,app_LT_entropy_shannon_3_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_8_coef,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_10_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_std_10_coef,tqwt_entropy_shannon_dec_14,tqwt_entropy_shannon_dec_15,tqwt_entropy_shannon_dec_16,tqwt_entropy_shannon_dec_17,tqwt_entropy_log_dec_1,tqwt_entropy_log_dec_2,tqwt_entropy_log_dec_3,tqwt_entropy_log_dec_4,tqwt_entropy_log_dec_5,tqwt_entropy_log_dec_6,tqwt_entropy_log_dec_7,tqwt_entropy_log_dec_8,tqwt_entropy_log_dec_9,tqwt_entropy_log_dec_10,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_entropy_log_dec_14,tqwt_entropy_log_dec_15,tqwt_entropy_log_dec_16,tqwt_entropy_log_dec_17,tqwt_entropy_log_dec_18,tqwt_entropy_log_dec_19,tqwt_entropy_log_dec_20,tqwt_entropy_log_dec_21,tqwt_entropy_log_dec_22,tqwt_entropy_log_dec_23,tqwt_entropy_log_dec_24,tqwt_entropy_log_dec_25,tqwt_entropy_log_dec_26,tqwt_entropy_log_dec_27,tqwt_entropy_log_dec_29,tqwt_entropy_log_dec_30,tqwt_entropy_log_dec_31,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_33,tqwt_entropy_log_dec_34,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_36,tqwt_kurtosisValue_dec_5
3655.054806,1200445.612,1.7166,5.5625,0.04894,-72.2192,-866.9373,-54.5335,-319.9468,-165.257,-42.9705,-2336.3644,7.7828,2.3013,5.6628,3.5683,44.7582,26.1213,3.7358,15.283,9.2028,4.7887,89.767,-34415952.86,-41505780.29,-54991273,-129684181.7,-232253303.7,-459058057.8,-902118385.7,-1886558836,-3937753319,18923.0837,115701.9285,524800.1114,1049747.089,2101636.245,27917.7341,67151.7571,151463.1285,326874.1892,672089.5253,1381934.183,2777808.879,5547195.189,-19278.0371,-25711.8622,-36938.137,-57264.6625,-98433.1856,-184901.7535,-381059.351,-776445.2329,-1676725.978,-3601122.613,4188.2456,8373.9278,89.7525,174.692,189.5,360.7126,-2037542.225,-1802551.782,-1485424.634,-1245979.172,-991083.9631,-745188.5092,-560498.2903,-432705.197,-352797.2473,-281439.269,-229943.2967,-201985.0408,-127736.2777,-83962.4084,-62201.7084,-52209.7866,-34671.0477,-23650.0278,-20345.6618,-18507.9939,-19238.3429,-11545.4036,-7369.2484,-7030.0263,-8442.5303,-4459.3054,-2800.8383,-6399.2202,-7011.7391,-6228.1902,-5536.5796,-4540.083,-3726.2679,-3190.1752,-2528.9188,21.5451
3498.681572,1298455.445,1.7545,5.9143,-13.8866,-114.6049,-273.5543,-210.4995,-14.093,-650.1035,-35.8525,-53.2382,6.0722,5.1009,0.93367,17.5875,1.8125,11.787,9.262,2.2562,31.7893,3.2381,3.8258,-32588713.93,-39329560.14,-52167450.85,-123243056.6,-220947833.1,-437011684.1,-859038700.4,-1796705970,-3750669277,18157.1896,111142.9462,502899.2766,1005892.96,2012043.365,26814.5173,63969.6745,145371.1558,314467.5684,642734.4635,1327168.357,2654568.33,5309694.85,-19028.6532,-25392.0069,-36496.8101,-56599.2563,-97324.883,-182880.5032,-376979.9939,-768230.2335,-1659120.382,-3563560.603,4148.9889,8298.1606,65.9794,140.8136,163.4516,367.5642,-2031484.253,-1805547.302,-1489764.687,-1260945.267,-1029091.899,-784301.4343,-593534.8933,-453059.1897,-359075.8955,-285733.2255,-230526.8175,-203389.4678,-136442.1326,-90311.316,-66006.9965,-53505.5568,-33182.7497,-21148.2216,-18974.3829,-20233.2095,-21925.5308,-13454.9364,-8507.0116,-7720.614,-9389.7366,-5013.9281,-3078.5008,-5792.2069,-6983.7028,-6115.804,-5232.0226,-4466.8949,-3719.5566,-3106.4317,-2550.7038,4005.1329
3678.128717,1272869.841,1.3584,5.5814,-1.9531,-137.3999,-102.4895,-199.3564,1.1244,1.5957,1.908,-76.5344,2.4414,4.221,0.25417,0.097087,3.1849,5.8584,9.2128,0.49192,0.36858,0.31332,5.9953,-31864278.37,-38418848.45,-50880181.14,-119780270,-214375881.7,-423881698.8,-832850139,-1742078585,-3636913180,17702.5791,108262.1579,490695.5293,981352.7208,1962144.341,26070.3366,62510.6817,141953.0747,305549.8724,628576.2761,1295706.406,2588074.975,5177908.6,-18926.4578,-25253.6144,-36288.7542,-56258.4752,-96708.1119,-181663.4768,-374463.8517,-763056.6385,-1648032.246,-3539902.4,4127.0967,8254.7868,39.0161,84.8129,101.5144,188.1902,-2020711.806,-1809620.535,-1518863.7,-1276516.971,-1032341.341,-782015.3863,-592976.6564,-460153.4797,-378522.8213,-305145.0185,-246592.6024,-214707.2576,-146506.6418,-99913.1016,-73185.8529,-56683.9547,-41243.4355,-29134.8907,-23660.155,-20578.6196,-23785.2537,-17830.7806,-11965.5691,-10363.4245,-10590.644,-5977.917,-3829.1785,-5937.264,-6970.5761,-6109.0433,-5388.7857,-4455.2826,-3661.5431,-3082.5691,-2551.524,62.5132
4122.163933,1932289.206,-97087.306,-279305.8601,-347307.971,-605087.6711,-1018351.291,-1571525.953,-2432333.316,-4520938.77,-1187850.179,-4571329.829,3233.2456,8715.5558,12621.0552,41833.392,37684.4579,10590.0428,18444.5045,26794.4372,61373.061,16630.2743,72647.0576,-44854174.87,-50479679.82,-60032621.59,-109696232.2,-176812107.4,-330129338.5,-625193831.3,-1306601988,-2722133496,22556.312,97623.3041,377576.4933,735812.83,1507172.433,60867.3395,110362.2373,200062.7545,314057.2871,703002.2409,1002359.597,2359863.04,4011147.82,-19352.0891,-25452.5218,-35824.8476,-54370.929,-91686.1704,-169639.1274,-347128.0292,-704471.7514,-1522358.498,-3271399.011,3910.7029,7698.9389,405.465,572.9586,646.9783,516.0856,-1702568.07,-1454658.702,-1187303.62,-962685.5852,-777792.1916,-660578.0325,-533041.4743,-418108.6951,-336685.8193,-287896.7686,-255107.4287,-160775.565,-103182.8663,-70072.7154,-50643.982,-39123.6393,-33611.6072,-27559.051,-22665.2697,-16728.0806,-11364.9476,-10477.1084,-6042.5372,-1891.9492,-976.8516,-2473.9872,-7018.6958,-3893.6863,-3853.4907,-3875.9253,-3124.9244,-2779.8086,-2372.6055,-1965.3808,-1798.1406,34.665
4085.456839,1861807.802,-115393.5436,-173099.5546,-235961.641,-1054959.626,-575986.6728,-1170597.572,-2613413.545,-2797296.701,-2228969.306,-20891393.44,3436.9623,5521.4215,13703.5956,9676.3603,134568.1745,6601.1111,14594.4305,35910.8006,42206.5428,22655.6622,228423.4102,-59737876.86,-66995068.86,-80313780.59,-140671395.9,-225887933.1,-425927317.4,-786450935.2,-1640684357,-3391441982,37106.4026,189806.4877,853765.7904,1713112.173,3158402.899,72348.0929,140910.6033,318496.106,713080.2915,1119327.343,2556027.478,4504909.124,8579124.177,-21066.0878,-27472.1915,-38399.3353,-57514.4436,-95740.4317,-176007.1589,-359900.4024,-725678.1466,-1567705.131,-3367165.736,4297.4639,8645.2845,457.2111,647.2537,683.1305,472.2521,-1715390.246,-1419415.691,-1148900.982,-951358.1337,-773623.408,-655874.5995,-535856.3893,-409854.468,-322839.0285,-279129.6866,-252647.9964,-154087.6641,-97661.8079,-67314.2041,-49732.233,-37688.7699,-34414.5525,-27573.0883,-22087.7065,-16531.1556,-11198.6854,-10614.3079,-6215.9774,-1895.8841,-577.2628,-2171.4673,-7392.1333,-4799.5028,-4315.6123,-4030.0406,-3319.5362,-2910.9996,-2484.715,-2102.3852,-1872.4122,6.9274
3791.213621,1761740.466,-281135.951,-420179.4093,-789923.5355,-3823209.815,-1732154.75,-198753.4142,-2265595.535,-5175740.365,-109227.3929,-2025999.311,11359.6477,935.398,13534.0611,37263.2502,16075.4564,14283.1399,2968.2485,29740.142,80171.9063,1374.3875,28762.9208,-60630765.15,-71567902.91,-92421633.13,-197005856.8,-348913734.8,-678025107.1,-1305561339,-2727273256,-5683519396,40707.218,214560.9193,860549.1572,1722182.365,3376741.672,115949.8496,197411.5293,325585.4929,775866.6321,1256857.68,2373156.619,4451980.807,8962888.516,-20918.6996,-27766.3616,-39737.1374,-61131.0983,-104738.4875,-196500.4921,-403630.3745,-819418.599,-1768792.643,-3797381.452,4490.8117,9009.3152,458.5741,661.3569,697.3025,506.5834,-1756721.756,-1429654.875,-1168788.315,-957703.6217,-773256.6325,-651343.7195,-533207.0595,-402723.8179,-317856.5251,-275884.6604,-250630.0229,-158686.4553,-101139.3277,-68599.971,-49365.4363,-38349.8754,-34872.4771,-28696.9726,-23744.4068,-16097.2263,-11192.8401,-10305.7789,-5916.1822,-2363.2791,-1305.6082,-2728.0888,-6462.9921,-4455.1323,-3522.2468,-2741.3453,-2399.6602,-2499.9299,-2239.3081,-1918.089,-1592.8628,21.3548
4211.727619,1408372.118,6.6227,-5.694,-118.8591,-3109.1881,-960.9864,-624.9199,-368.5131,-8806.5108,-11713.4046,-202287.6174,15.5669,11.6773,7.6094,28.5588,2047.2044,16.5269,19.2228,13.4281,39.6752,215.3592,3750.5638,-66210980.74,-80017350.51,-106445817.5,-254092613,-456929695.1,-902898726.9,-1776124116,-3707766501,-7726169625,34619.0272,211966.3384,961840.909,1925649.095,3869038.589,51211.3127,122189.7194,276733.1826,596841.3891,1232526.288,2515140.953,5144139.615,10224241.85,-22422.4196,-29801.8283,-42729.7247,-66187.6604,-113728.6244,-213539.0682,-439591.4525,-895134.1157,-1930965.718,-4143316.972,4737.9142,9465.1464,486.1084,671.048,965.6082,838.4626,-1674416.522,-1374182.855,-1033762.824,-771591.2245,-619440.7364,-521296.7165,-383192.5803,-288485.4747,-235692.725,-228117.0233,-186998.3021,-123379.9212,-84630.5749,-60759.8073,-43026.228,-30359.0377,-25699.7658,-20561.1327,-19401.5888,-19070.3507,-9659.0038,-6006.6913,-7134.4237,-5530.799,-1810.8153,-1071.8399,-2316.4704,-6915.5664,-5211.4179,-3798.4822,-2966.0718,-2701.9626,-2511.6261,-2142.4755,-1978.744,5.6992
3560.280084,1473379.51,6.1011,4.5541,-451.3802,-9893.2835,-3764.0935,-1202.1294,-2473.41,-25593.4786,-2506.9878,-93185.0457,28.7695,22.9235,33.3707,281.4523,1065.1383,92.6657,31.0877,59.2799,720.9331,96.0712,2114.1019,-63958829.07,-76946805.48,-101674186.6,-239045135.6,-427467881.8,-843540475.4,-1656537594,-3458755269,-7208656669,32698.1091,200585.4039,913267.7958,1827510.153,3668303.144,48666.7308,114672.0955,261595.7635,560974.5711,1179026.34,2391442.028,4871568.727,9688310.246,-22248.0257,-29547.7175,-42312.7476,-65440.4212,-112296.3304,-210627.3955,-433521.4504,-882538.7595,-1903996.566,-4085825.963,4689.1889,9368.8262,384.9843,556.9767,987.3595,1052.1737,-1651081.237,-1433116.465,-1128801.849,-869602.9777,-696253.3815,-570559.9814,-423170.8293,-315026.7507,-249975.2043,-232345.1421,-194841.0453,-120105.918,-81552.501,-64328.1679,-46756.3294,-29683.8048,-21648.6817,-20973.4946,-25506.3091,-18351.192,-8923.3902,-4604.4238,-4514.9369,-7477.7415,-3105.8304,-1413.4164,-1987.827,-6581.6607,-5211.1841,-4110.1406,-3135.3124,-2598.5729,-2192.1084,-1911.9907,-1630.7608,5.55
3833.298076,1434452.951,4.6949,9.4313,-134.5345,-1124.6892,-419.969,-374.303,-632.6561,-3338.8173,-896.9695,-16058.4614,3.4821,5.4273,7.9828,59.9451,238.3717,13.6154,16.5177,26.1327,83.5655,30.5709,494.1804,-64479966.78,-77577537.33,-102664678,-241509741.1,-432017577.5,-853347934.6,-1674121382,-3495384006,-7285010116,34343.4295,209802.2521,949466.4276,1898502.069,3789918.03,50502.3213,121209.5678,275050.4719,593467.5658,1213508.435,2515115.17,4984904.367,9998925.813,-22291.9242,-29604.4594,-42405.7938,-65588.552,-112544.7905,-211102.9429,-434580.393,-884492.7334,-1908180.953,-4094751.912,4711.4346,9428.5914,437.9106,500.4981,996.8589,1340.736,-1751595.346,-1452468.073,-1170232.411,-934418.4703,-731900.0001,-552432.1305,-414789.7737,-311434.6224,-248513.9749,-233531.0215,-199284.3607,-125357.3699,-84209.095,-61819.1894,-47863.221,-29864.1244,-18251.2309,-17847.3705,-25083.1972,-19153.9188,-10044.3285,-5626.4706,-5601.0713,-8313.0443,-3751.5857,-2060.9471,-2711.6304,-6568.1539,-4649.9573,-3494.5201,-2857.6096,-2640.7162,-2461.2141,-2201.4183,-2033.6692,5.1439
3238.976356,1241110.325,6.654,4.8891,-32.4043,-6076.6101,-1769.9953,-1390.984,-649.9176,-3970.925,-3339.3231,-36975.5629,32.7592,23.7315,10.4034,56.5416,438.4255,35.5763,43.8112,18.0046,112.1893,71.0218,749.7931,-166667557.9,-198792662.2,-260493825.4,-600729714.5,-1066271627,-2096701103,-4097101561,-8536030790,-17755633107,80134.2625,489319.0582,2221088.934,4440701.779,8867632.62,117417.873,283294.8331,640335.6795,1379564.544,2851120.621,5879716.932,11684371.95,23400170.98,-27351.6414,-36076.2436,-51385.311,-79101.054,-135192.2165,-252786.7785,-519256.1222,-1054905.116,-2272892.041,-4871946.867,5528.7612,11060.3011,1272.262,853.2024,855.2864,1133.0886,-1924818.941,-1564395.87,-1278182.308,-1060106.504,-877371.0311,-681906.6632,-497745.9564,-379446.1141,-301399.7099,-259591.7031,-213417.7115,-119688.9023,-68697.2353,-45321.4183,-41946.4316,-30926.7719,-20333.7515,-22328.4934,-17290.5168,-16229.5449,-20049.0617,-11232.3179,-7513.4286,-7950.101,-13971.7154,-13788.0028,-10331.0095,-6877.2409,-6610.9069,-6217.2844,-5223.3198,-4244.034,-3705.2665,-3306.9933,-2519.8991,28.6664
