,tqwt_entropy_log_dec_5,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_entropy_log_dec_18,tqwt_entropy_log_dec_19,tqwt_entropy_log_dec_20,tqwt_entropy_log_dec_21,tqwt_entropy_log_dec_22,tqwt_entropy_log_dec_23,tqwt_entropy_log_dec_25,tqwt_entropy_log_dec_28,tqwt_entropy_log_dec_33,tqwt_entropy_log_dec_34,tqwt_entropy_log_dec_35,tqwt_kurtosisValue_dec_1
0,-991083.9631,-201985.0408,-127736.2777,-23650.0278,-20345.6618,-18507.9939,-19238.3429,-11545.4036,-7369.2484,-8442.5303,-3160.3491,-4540.083,-3726.2679,-3190.1752,66.5007
1,-1029091.899,-203389.4678,-136442.1326,-21148.2216,-18974.3829,-20233.2095,-21925.5308,-13454.9364,-8507.0116,-9389.7366,-3212.9726,-4466.8949,-3719.5566,-3106.4317,8643.986
2,-1032341.341,-214707.2576,-146506.6418,-29134.8907,-23660.155,-20578.6196,-23785.2537,-17830.7806,-11965.5691,-10590.644,-3724.5248,-4455.2826,-3661.5431,-3082.5691,29.2717
3,-777792.1916,-160775.565,-103182.8663,-27559.051,-22665.2697,-16728.0806,-11364.9476,-10477.1084,-6042.5372,-976.8516,-4965.0071,-2779.8086,-2372.6055,-1965.3808,591.0116
4,-773623.408,-154087.6641,-97661.8079,-27573.0883,-22087.7065,-16531.1556,-11198.6854,-10614.3079,-6215.9774,-577.2628,-5832.5871,-2910.9996,-2484.715,-2102.3852,32.0393
5,-773256.6325,-158686.4553,-101139.3277,-28696.9726,-23744.4068,-16097.2263,-11192.8401,-10305.7789,-5916.1822,-1305.6082,-5280.4764,-2499.9299,-2239.3081,-1918.089,588.5124
6,-619440.7364,-123379.9212,-84630.5749,-20561.1327,-19401.5888,-19070.3507,-9659.0038,-6006.6913,-7134.4237,-1810.8153,-8263.9206,-2701.9626,-2511.6261,-2142.4755,93.327
7,-696253.3815,-120105.918,-81552.501,-20973.4946,-25506.3091,-18351.192,-8923.3902,-4604.4238,-4514.9369,-3105.8304,-5635.3952,-2598.5729,-2192.1084,-1911.9907,13.2574
8,-731900.0001,-125357.3699,-84209.095,-17847.3705,-25083.1972,-19153.9188,-10044.3285,-5626.4706,-5601.0713,-3751.5857,-6697.7144,-2640.7162,-2461.2141,-2201.4183,11.578
9,-877371.0311,-119688.9023,-68697.2353,-22328.4934,-17290.5168,-16229.5449,-20049.0617,-11232.3179,-7513.4286,-13971.7154,-7699.7633,-4244.034,-3705.2665,-3306.9933,598.5548
10,-972152.2762,-130314.5034,-76138.9219,-22900.2888,-20301.3665,-18240.2253,-18267.0401,-9660.3438,-6091.7186,-12052.2989,-7568.6086,-4274.7929,-3820.4723,-3233.3176,1106.5211
11,-953424.8417,-119920.305,-69665.4751,-20681.4204,-19754.8865,-18610.4721,-22181.1802,-13126.9125,-9292.5935,-15368.5373,-7584.5798,-4338.1476,-3672.3149,-3241.2701,121.6652
12,-1017616.754,-202358.5432,-142100.6207,-49064.7392,-40547.5375,-34001.9346,-23008.3168,-15506.9804,-10949.7901,-14060.8987,-10169.9268,-4328.0752,-4095.7981,-3595.3165,6.7369
13,-943042.3084,-179877.7124,-119083.1503,-44483.9483,-35406.1267,-30412.7823,-23122.8585,-14096.7185,-9588.219,-13859.5147,-10163.105,-3926.3371,-3865.7732,-3444.0081,34.3305
14,-1007132.294,-190145.8142,-129201.472,-44445.3766,-35304.6976,-31110.4548,-23201.9343,-13988.2182,-9730.5812,-14499.6195,-9932.3326,-4145.9287,-3773.5532,-3417.1636,5.4338
