,Ea,Ed_1_coef,Ed_2_coef,Ed_3_coef,Ed_4_coef,Ed_5_coef,Ed_6_coef,Ed_7_coef,Ed_8_coef,Ed_9_coef,Ed_10_coef,det_entropy_shannon_1_coef,det_entropy_shannon_2_coef,det_entropy_shannon_3_coef,det_entropy_shannon_4_coef,det_entropy_shannon_5_coef,det_entropy_shannon_6_coef,det_entropy_shannon_7_coef,det_entropy_shannon_8_coef,det_entropy_shannon_9_coef,det_entropy_shannon_10_coef,det_entropy_log_1_coef,det_entropy_log_2_coef,det_entropy_log_3_coef,det_entropy_log_4_coef,det_entropy_log_5_coef,det_entropy_log_6_coef,det_entropy_log_7_coef,det_entropy_log_8_coef,det_entropy_log_9_coef,det_entropy_log_10_coef,det_TKEO_mean_1_coef,det_TKEO_mean_2_coef,det_TKEO_mean_3_coef,det_TKEO_mean_4_coef,det_TKEO_mean_5_coef,det_TKEO_mean_6_coef,det_TKEO_mean_7_coef,det_TKEO_mean_8_coef,det_TKEO_mean_9_coef,det_TKEO_mean_10_coef,det_TKEO_std_1_coef,det_TKEO_std_2_coef,det_TKEO_std_3_coef,det_TKEO_std_4_coef,det_TKEO_std_5_coef,det_TKEO_std_6_coef,det_TKEO_std_7_coef,det_TKEO_std_8_coef,det_TKEO_std_9_coef,det_TKEO_std_10_coef,app_entropy_shannon_1_coef,app_entropy_shannon_2_coef,app_entropy_shannon_3_coef,app_entropy_shannon_4_coef,app_entropy_shannon_5_coef,app_entropy_shannon_6_coef,app_entropy_shannon_7_coef,app_entropy_shannon_8_coef,app_entropy_shannon_9_coef,app_entropy_shannon_10_coef,app_entropy_log_1_coef,app_entropy_log_2_coef,app_entropy_log_3_coef,app_entropy_log_4_coef,app_entropy_log_5_coef,app_entropy_log_6_coef,app_entropy_log_7_coef,app_entropy_log_8_coef,app_entropy_log_9_coef,app_entropy_log_10_coef,app_det_TKEO_mean_1_coef,app_det_TKEO_mean_2_coef,app_det_TKEO_mean_3_coef,app_det_TKEO_mean_4_coef,app_det_TKEO_mean_5_coef,app_det_TKEO_mean_6_coef,app_det_TKEO_mean_7_coef,app_det_TKEO_mean_8_coef,app_det_TKEO_mean_9_coef,app_det_TKEO_mean_10_coef,app_TKEO_std_1_coef,app_TKEO_std_2_coef,app_TKEO_std_3_coef,app_TKEO_std_4_coef,app_TKEO_std_5_coef,app_TKEO_std_6_coef,app_TKEO_std_7_coef,app_TKEO_std_8_coef,app_TKEO_std_9_coef,app_TKEO_std_10_coef,Ea2,Ed2_1_coef,Ed2_2_coef,Ed2_3_coef,Ed2_4_coef,Ed2_5_coef,Ed2_6_coef,Ed2_7_coef,Ed2_8_coef,Ed2_9_coef,Ed2_10_coef,det_LT_entropy_shannon_1_coef,det_LT_entropy_shannon_2_coef,det_LT_entropy_shannon_3_coef,det_LT_entropy_shannon_4_coef,det_LT_entropy_shannon_5_coef,det_LT_entropy_shannon_6_coef,det_LT_entropy_shannon_7_coef,det_LT_entropy_shannon_8_coef,det_LT_entropy_shannon_9_coef,det_LT_entropy_shannon_10_coef,det_LT_entropy_log_1_coef,det_LT_entropy_log_2_coef,det_LT_entropy_log_3_coef,det_LT_entropy_log_4_coef,det_LT_entropy_log_5_coef,det_LT_entropy_log_6_coef,det_LT_entropy_log_7_coef,det_LT_entropy_log_8_coef,det_LT_entropy_log_9_coef,det_LT_entropy_log_10_coef,det_LT_TKEO_mean_1_coef,det_LT_TKEO_mean_2_coef,det_LT_TKEO_mean_3_coef,det_LT_TKEO_mean_4_coef,det_LT_TKEO_mean_5_coef,det_LT_TKEO_mean_6_coef,det_LT_TKEO_mean_7_coef,det_LT_TKEO_mean_8_coef,det_LT_TKEO_mean_9_coef,det_LT_TKEO_mean_10_coef,det_LT_TKEO_std_1_coef,det_LT_TKEO_std_2_coef,det_LT_TKEO_std_3_coef,det_LT_TKEO_std_4_coef,det_LT_TKEO_std_5_coef,det_LT_TKEO_std_6_coef,det_LT_TKEO_std_7_coef,det_LT_TKEO_std_8_coef,det_LT_TKEO_std_9_coef,det_LT_TKEO_std_10_coef,app_LT_entropy_shannon_1_coef,app_LT_entropy_shannon_2_coef,app_LT_entropy_shannon_3_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_8_coef,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_10_coef,app_LT_entropy_log_1_coef,app_LT_entropy_log_2_coef,app_LT_entropy_log_3_coef,app_LT_entropy_log_4_coef,app_LT_entropy_log_5_coef,app_LT_entropy_log_6_coef,app_LT_entropy_log_7_coef,app_LT_entropy_log_8_coef,app_LT_entropy_log_9_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_1_coef,app_LT_TKEO_mean_2_coef,app_LT_TKEO_mean_3_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_mean_6_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_std_1_coef,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_std_5_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_std_7_coef,app_LT_TKEO_std_8_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_std_10_coef
0,99.9996,1.53e-07,8.86e-07,7.43e-06,2.1e-05,0.00010224,1.31e-05,4.0600000000000004e-05,2.6899999999999997e-05,1.04e-05,0.00020186,1.7166,5.5625,0.04894,-72.2192,-866.9373,-54.5335,-319.9468,-165.257,-42.9705,-2336.3644,-779.1377,-290.20799999999997,-78.3447,-10.7944,10.5089,-46.3816,-35.9347,-46.8515,-31.2923,-18.7456,0.0024859,0.02815,0.32455,1.5948,7.7828,2.3013,5.6628,3.5683,2.0302,44.7582,0.005012,0.046228,0.68635,3.5072,26.1213,3.7358,15.283,9.2028,4.7887,89.76700000000001,-34415952.86,-41505780.29,-54991273.0,-79779216.69,-129684181.7,-232253303.7,-459058057.8,-902118385.7,-1886558836.0,-3937753319,1116.2921,672.8105,445.4876,322.8542,262.2272,234.6861,231.96900000000002,227.8718,238.269,248.6663,572.1636,2023.8169,6477.7714,18923.0837,49173.8993,115701.9285,245931.5887,524800.1114,1049747.0890000002,2101636.245,4181.8549,11092.1222,27917.7341,67151.7571,151463.1285,326874.1892,672089.5253,1381934.1830000002,2777808.8789999997,5547195.188999999,100.0,6.590000000000001e-09,3.86e-08,3.25e-07,9.05e-07,4.39e-06,5.71e-07,1.73e-06,1.15e-06,4.5e-07,8.71e-06,0.00033833,0.0016910999999999999,0.011168,0.026503,0.095478,0.016069999999999997,0.039222,0.029105000000000002,0.012719,0.14851,-1820.192,-871.5514,-446.3217,-261.8311,-182.3583,-210.734,-190.3697,-192.1166,-175.6679,-163.4186,1.62e-07,1.85e-06,2.15e-05,0.00010395,0.00050042,0.00015082,0.00036353,0.00022942,0.00013184,0.0029043000000000003,3.25e-07,3.04e-06,4.55e-05,0.00022608,0.0016887999999999998,0.00024467,0.00098152,0.0005974,0.00031087,0.005821100000000001,-19278.0371,-25711.8622,-36938.137,-57264.6625,-98433.1856,-184901.7535,-381059.351,-776445.2329,-1676725.9780000001,-3601122.613,414.6434,276.485,198.5803,153.8978,132.2489,124.1971,127.9812,130.3804,140.7776,151.1748,0.86121,3.0487,9.7825,28.5949,74.3411,174.9214,371.7296,793.068,1586.1824,3173.0448,6.2989999999999995,16.7003,42.0762,101.0889,228.8489,493.8563,1015.7707,2091.946,4188.2456,8373.9278
1,99.9998,1.68e-07,1.23e-06,1.24e-05,3.11e-05,4.6299999999999994e-05,3.64e-05,5.37e-06,7.38e-05,9.34e-06,1.28e-05,1.7545,5.9143,-13.8866,-114.6049,-273.5543,-210.4995,-14.093,-650.1035,-35.8525,-53.2382,-758.8078,-287.4139,-56.9104,-2.2495,-6.0268,-20.4266,-55.9988,-29.473000000000003,-33.8478,-22.4413,0.0036667,0.046661,0.8559700000000001,3.717,6.0722,5.1009,0.9336700000000001,17.5875,1.3738,1.8125,0.009348200000000001,0.07896399999999999,1.3254,3.7067,11.787,9.262,2.2562,31.7893,3.2381,3.8258,-32588713.93,-39329560.14,-52167450.85,-75736302.45,-123243056.6,-220947833.1,-437011684.1,-859038700.4,-1796705970.0,-3750669277,1110.9296,669.803,443.6442,321.60400000000004,261.2809,233.8954,231.2326,227.1834,237.5807,247.9779,545.9031,1936.8183,6203.4329,18157.1896,47222.6429,111142.9462,236033.1031,502899.2766,1005892.96,2012043.365,3990.8171,10580.7939,26814.5173,63969.6745,145371.1558,314467.5684,642734.4635,1327168.357,2654568.33,5309694.85,100.0,7.3e-09,5.39e-08,5.4e-07,1.36e-06,2.04e-06,1.6e-06,2.37e-07,3.26e-06,4.11e-07,5.660000000000001e-07,0.00036727,0.0022342,0.017408,0.038292,0.05036,0.039943,0.0070543,0.065741,0.011481,0.015544999999999998,-1794.2636,-873.3035,-422.458,-251.8144,-197.9376,-183.3561,-209.3696,-173.3484,-177.7185,-166.2056,2.4899999999999997e-07,3.17e-06,5.8099999999999996e-05,0.00025339,0.00041665,0.00034947,6.42e-05,0.0012097000000000002,9.429999999999999e-05,0.00012474,6.32e-07,5.39e-06,8.96e-05,0.00025559,0.0008116,0.00063551,0.00015527,0.0021871,0.00022223,0.00026275,-19028.6532,-25392.0069,-36496.8101,-56599.2563,-97324.883,-182880.5032,-376979.9939,-768230.2335,-1659120.382,-3563560.603,413.5284,275.8597,198.1971,153.6379,132.0522,124.0327,127.8282,130.2373,140.6345,151.0317,0.8528899999999999,3.0213,9.6956,28.3506,73.7185,173.4666,368.5705,786.0763,1572.1837,3144.4525,6.2381,16.5376,41.7306,100.0918,226.9019,489.9169,1006.3702,2074.4541,4148.9889,8298.1606
2,99.9999,1.1699999999999999e-07,9.45e-07,1.04e-05,3.3600000000000004e-05,2.4299999999999998e-05,3.47e-05,1.66e-06,1.37e-06,1.11e-06,1.6100000000000002e-05,1.3584,5.5814,-1.9531,-137.3999,-102.4895,-199.3564,1.1244,1.5957,1.9080000000000001,-76.5344,-787.2253,-282.119,-51.3601,-10.8033,-20.2164,-28.7072,-51.3476,-49.4374,-59.2535,-39.3774,0.001819,0.024522,0.61458,3.2812,2.4414,4.221,0.25417,0.097087,0.17991,3.1849,0.0031152,0.044685,0.6955100000000001,4.5176,5.8584,9.2128,0.49191999999999997,0.36858,0.31332,5.9953,-31864278.37,-38418848.45,-50880181.14,-73735268.71,-119780270.0,-214375881.7,-423881698.8,-832850139.0,-1742078585.0,-3636913180,1108.7207,668.4952,442.7709,320.9607,260.7518,233.417,230.7762,226.7479,237.1451,247.5423,536.3497,1890.9098,6055.5718,17702.5791,46038.8972,108262.1579,230020.8923,490695.5293,981352.7208,1962144.341,3923.9493,10408.7249,26070.3366,62510.6817,141953.0747,305549.8724,628576.2761,1295706.406,2588074.975,5177908.6,100.0,5.13e-09,4.13e-08,4.53e-07,1.46e-06,1.06e-06,1.51e-06,7.28e-08,5.98e-08,4.82e-08,7.070000000000001e-07,0.00026765,0.0017811,0.015125999999999999,0.039744999999999996,0.028470999999999996,0.037096,0.0025285,0.0021260000000000003,0.001754,0.018435,-1820.6641,-865.4333,-415.0493,-259.3713,-211.9958,-191.4528,-204.3601,-193.09400000000002,-203.4729,-183.1261,1.2699999999999999e-07,1.71e-06,4.28e-05,0.00022815,0.00016961,0.00029389,1.7899999999999998e-05,6.78e-06,1.24e-05,0.00022278,2.1800000000000002e-07,3.12e-06,4.85e-05,0.00031484,0.00040559,0.00064169,3.45e-05,2.5e-05,2.1899999999999997e-05,0.00042002,-18926.4578,-25253.6144,-36288.7542,-56258.4752,-96708.1119,-181663.4768,-374463.8517,-763056.6385,-1648032.246,-3539902.4,413.0675,275.5868,198.0149,153.5036,131.9418,123.9329,127.7329,130.1464,140.5436,150.9408,0.84977,3.0062,9.647,28.2014,73.3297,172.5204,366.5936,782.0604,1564.1081,3128.0295,6.2163,16.4817,41.4869,99.6154,225.7803,486.9865,1001.7348,2064.1067,4127.0967,8254.7868
3,99.0823,0.0085456,0.020586,0.025449,0.041488,0.062340999999999994,0.090279,0.13330999999999998,0.23465,0.067636,0.23338000000000003,-97087.306,-279305.8601,-347307.971,-605087.6711,-1018351.291,-1571525.9530000002,-2432333.316,-4520938.77,-1187850.179,-4571329.829,-328.3795,105.9933,118.3538,145.1279,127.0736,115.1613,99.4862,102.5224,94.2247,109.5148,129.9336,383.699,1077.8044,2857.1343,3233.2456,8715.5558,12621.0552,41833.392,7594.7548,37684.4579,432.3708,1682.6595,2707.5415,5456.4506,10590.0428,18444.5045,26794.4372,61373.060999999994,16630.2743,72647.0576,-44854174.87,-50479679.82,-60032621.59,-76609325.9,-109696232.2,-176812107.4,-330129338.5,-625193831.3,-1306601988.0,-2722133496,1114.463,669.4187,440.8719,318.0211,257.23,229.4475,226.5624,222.5964,233.0128,243.445,1901.8331,4692.7977,10378.0764,22556.312,44691.4166,97623.3041,184765.641,377576.4933,735812.83,1507172.4330000002,11489.6961,27458.8885,60867.3395,110362.2373,200062.7545,314057.2871,703002.2409,1002359.5970000001,2359863.04,4011147.82,99.9734,0.00024751,0.00058569,0.00073641,0.0012259999999999999,0.0018344000000000001,0.0025713,0.0038578,0.0067259,0.0019206,0.006912399999999999,2.4956,3.4691,4.1819999999999995,4.6049,0.6632,-3.9944,-12.5212,-34.8562,-3.5002,-41.1135,-1383.4552,-481.5866,-246.5422,-106.1949,-70.02199999999999,-51.5251,-56.7015,-45.5159,-53.0037,-37.7727,0.007283199999999999,0.021209,0.059953,0.16413,0.18385,0.47943,0.7075199999999999,2.315,0.41861000000000004,2.1657,0.024163,0.090943,0.15170999999999998,0.31669,0.61057,1.01,1.5094,3.3962,0.9064,4.2027,-19352.0891,-25452.5218,-35824.8476,-54370.929000000004,-91686.1704,-169639.1274,-347128.0292,-704471.7514,-1522358.4980000001,-3271399.0110000004,413.63800000000003,275.3259,197.2795,152.594,130.94799999999998,122.8786,126.6411,129.0689,139.4666,149.8649,0.8836700000000001,2.9398,9.0446,26.221999999999998,67.4885,158.1634,336.9109,724.9443,1448.7625,2913.3877,6.7833,16.8216,41.3157,94.4579,211.1565,443.3447,955.8128,1890.1299,3910.7029,7698.9389
4,98.693,0.007861100000000001,0.011238,0.014563999999999999,0.055365,0.030612,0.057491999999999994,0.1135,0.12336,0.10175,0.7912399999999999,-115393.5436,-173099.5546,-235961.641,-1054959.626,-575986.6728,-1170597.572,-2613413.545,-2797296.7010000004,-2228969.306,-20891393.44,-231.7629,67.8393,141.8058,177.2765,129.2619,103.6704,101.5425,100.3828,112.0031,138.1052,113.3947,380.6277,869.2401,4307.7861,3436.9623,5521.4215,13703.5956,9676.3603,13545.6869,134568.1745,437.9418,933.5812,1522.9635,7995.9587,6601.1111,14594.4305,35910.8006,42206.5428,22655.6622,228423.4102,-59737876.86,-66995068.86,-80313780.59,-100357703.7,-140671395.9,-225887933.1,-425927317.4,-786450935.2,-1640684357.0,-3391441982,1150.7588,687.9315,451.0732,323.8359,260.5085,231.7202,228.6784,224.1464,234.5705,245.0186,1921.2283,5938.5628,16402.1087,37106.4026,87904.0887,189806.4877,404982.5071,853765.7904,1713112.1730000002,3158402.8989999997,11366.1022,29064.1478,72348.0929,140910.6033,318496.106,713080.2915,1119327.3429999999,2556027.478,4504909.124,8579124.177000001,99.9541,0.00026864,0.00038794,0.00049662,0.0019284000000000003,0.0010699000000000001,0.0019994,0.0041023000000000006,0.0043804,0.0036165999999999998,0.027658999999999996,2.4826,3.11,3.341,3.9016,2.5947,-0.12265,-18.4287,-16.834,-9.5452,-272.0577,-1322.5301,-545.2308,-232.3305,-81.8174,-66.5583,-62.6866,-54.6934,-45.4301,-34.3376,-8.3446,0.006293399999999999,0.021205,0.048283,0.24106,0.19608,0.30607,0.80147,0.5578,0.7774800000000001,7.5947,0.024148,0.052075,0.084143,0.45466000000000006,0.37353000000000003,0.8268399999999999,2.099,2.421,1.3109,12.854000000000001,-21066.0878,-27472.1915,-38399.3353,-57514.4436,-95740.4317,-176007.1589,-359900.4024,-725678.1466,-1567705.131,-3367165.736,421.1396,279.1703,199.435,153.7788,131.6258,123.3566,127.0837,129.4029,139.8011,150.2018,0.94619,3.2838,10.5898,30.3224,78.253,182.9658,390.17400000000004,827.9359,1653.5676,3265.5292,6.9366,18.3595,46.2704,108.6792,244.0607,541.2414,1057.2566,2242.5460000000003,4297.4639,8645.2845
5,99.5213,0.011496,0.016408000000000002,0.026368,0.11,0.05260499999999999,0.007209999999999999,0.061452,0.13237000000000002,0.0041537,0.05660900000000001,-281135.951,-420179.4093,-789923.5355,-3823209.815,-1732154.75,-198753.4142,-2265595.535,-5175740.365,-109227.3929,-2025999.311,120.9124,289.3221,209.9084,218.5678,160.6363,98.90299999999999,106.014,116.6951,72.378,97.2651,364.244,871.1593,2492.1525,12686.5279,11359.6477,935.398,13534.0611,37263.2502,938.5292,16075.4564,959.073,1518.8789,4703.7668,19676.7771,14283.1399,2968.2485,29740.142000000003,80171.9063,1374.3875,28762.9208,-60630765.15,-71567902.91,-92421633.13,-124987398.1,-197005856.8,-348913734.8,-678025107.1,-1305561339.0,-2727273256.0,-5683519396,1146.8569,690.8572,457.1253,331.9703,269.3733,240.692,237.5195,232.958,243.3564,253.7604,3900.5915,11205.1386,26017.7871,40707.218,100865.9123,214560.9193,428027.17799999996,860549.1572,1722182.365,3376741.672,17329.8856,45698.5733,115949.8496,197411.5293,325585.4929,775866.6321,1256857.68,2373156.619,4451980.807,8962888.516,99.9732,0.0006198,0.00093155,0.0015452999999999999,0.0056885,0.0028871,0.00036052,0.0035562,0.008479200000000001,0.00014653,0.0025823,5.8534,7.2185,4.229,-11.8983,-0.7248100000000001,2.3564,-16.8786,-66.1431,1.3153,-7.2286,-942.9796,-313.8189,-165.2604,-49.9197,-34.2153,-63.9962,-49.323,-29.5398,-79.6265,-49.7272,0.022293,0.054896,0.16731,0.6702199999999999,0.70017,0.063592,0.8783200000000001,2.7244,0.036565,0.82431,0.0563,0.092945,0.30423,1.1712,0.8669600000000001,0.14818,1.89,5.754,0.050763,1.5082,-20918.6996,-27766.3616,-39737.1374,-61131.0983,-104738.4875,-196500.4921,-403630.3745,-819418.599,-1768792.6430000002,-3797381.452,420.1211,279.5879,200.5434,155.2486,133.2894,125.0796,128.7825,131.0997,141.497,151.8946,1.1789,3.9334,11.4371,31.7812,82.946,192.7931,406.81199999999995,856.6478,1713.1566,3413.618,8.3764,22.7007,55.3092,118.2894,260.5987,571.4985,1090.6415,2280.6768,4490.8117,9009.3152
6,99.9936,5.14e-07,7.2e-06,1.53e-05,0.00016506,6.14e-05,3.929999999999999e-05,2.6600000000000003e-05,0.00034835,0.00044355,0.005252399999999999,6.6227,-5.694,-118.8591,-3109.1881,-960.9864,-624.9199,-368.5131,-8806.5108,-11713.4046,-202287.6174,-569.8538,-129.9106,-39.9733,21.8401,3.0104,-23.2262,-6.3236,29.3834,36.8379,59.7394,0.018697,0.18264,1.6707,20.0702,15.5669,11.6773,7.6094,28.5588,141.9507,2047.2044,0.036174,0.44761000000000006,3.3812,23.1368,16.5269,19.2228,13.4281,39.6752,215.3592,3750.5638,-66210980.74,-80017350.51,-106445817.5,-155367925.8,-254092613.0,-456929695.1,-902898726.9,-1776124116.0,-3707766501.0,-7726169625,1180.8236,709.5633,468.6289,338.9014,274.731,245.4171,242.0959,237.4079,247.8052,258.2033,1046.901,3711.0548,11888.1273,34619.0272,90034.133,211966.3384,450263.2092,961840.9090000001,1925649.095,3869038.5889999997,7646.9815,20301.2455,51211.3127,122189.7194,276733.1826,596841.3891,1232526.288,2515140.953,5144139.615,10224241.85,99.9997,2.0299999999999996e-08,2.85e-07,6.02e-07,6.67e-06,2.47e-06,1.54e-06,9.959999999999999e-07,1.3800000000000002e-05,1.73e-05,0.00020726,0.0010810000000000001,0.011642,0.020831,0.16274,0.06740299999999999,0.041852,0.029133,0.25695,0.30704000000000004,1.3947,-1673.9599,-756.4651,-432.3145,-244.2878,-201.5369,-194.2842,-170.2581,-124.587,-116.8795,-92.9115,6.690000000000001e-07,6.59e-06,5.9699999999999994e-05,0.00073111,0.00056423,0.00041636,0.00026166,0.0010379000000000002,0.0050265,0.073142,1.29e-06,1.6e-05,0.00011921,0.00084932,0.00060012,0.00068267,0.00045712,0.0014590999999999999,0.0076476,0.1342,-22422.4196,-29801.8283,-42729.7247,-66187.6604,-113728.6244,-213539.0682,-439591.4525,-895134.1157,-1930965.718,-4143316.972,427.6283,283.878,203.2335,157.1227,134.7606,126.352,130.0147,132.295,142.6922,153.0894,0.9719399999999999,3.4422,11.0484,32.2819,83.9366,197.5135,419.6627,895.4899,1791.3123,3586.1536,7.1081,18.8481,47.4972,113.9745,258.2175,557.1802,1147.0422,2358.532,4737.9142,9465.1464
7,99.9954,4.879999999999999e-07,5.6e-06,4.71e-05,0.0004605,0.00019271,7.64e-05,0.00012342,0.00083242,0.00012362,0.0027632,6.1011,4.5541,-451.3802,-9893.2835,-3764.0935,-1202.1294,-2473.41,-25593.4786,-2506.9878,-93185.0457,-615.5185,-138.9617,9.9821,68.1099,33.9153,19.2908,-6.7979,-8.2027,-1.2594,41.4008,0.020766,0.25461,3.7145,69.645,28.7695,22.9235,33.3707,281.4523,42.8025,1065.1383,0.037348,0.45377,7.2989,92.8486,92.6657,31.0877,59.2799,720.9331,96.0712,2114.1019,-63958829.07,-76946805.48,-101674186.6,-147191573.1,-239045135.6,-427467881.8,-843540475.4,-1656537594.0,-3458755269.0,-7208656669,1177.3799,707.3646,467.024,337.6084,273.6031,244.3645,241.0822,236.43099999999998,246.8282,257.2258,998.6824,3548.5469,11286.1677,32698.1091,85159.2749,200585.4039,426342.6645,913267.7958,1827510.1530000002,3668303.144,7212.5456,19320.3963,48666.7308,114672.0955,261595.7635,560974.5711,1179026.34,2391442.028,4871568.727,9688310.246,99.9998,1.8700000000000002e-08,2.12e-07,1.79e-06,1.76e-05,7.53e-06,2.92e-06,4.76e-06,3.229999999999999e-05,4.86e-06,0.00010831,0.00099187,0.0088786,0.056938,0.36136999999999997,0.1673,0.075693,0.10375,0.37418,0.10461,0.9436899999999999,-1722.3248,-760.8087,-379.1743,-197.5817,-170.016,-154.63,-171.5546,-160.2125,-152.4966,-111.2707,7.540000000000001e-07,9.31e-06,0.00013383,0.0025361,0.0010789,0.00083272,0.0012288,0.010376,0.0016028,0.039791,1.34e-06,1.65e-05,0.00026495,0.0033373000000000005,0.0034589,0.0011288000000000001,0.0021850999999999997,0.026639,0.0035889000000000003,0.078931,-22248.0257,-29547.7175,-42312.7476,-65440.4212,-112296.3304,-210627.3955,-433521.4504,-882538.7595,-1903996.5659999999,-4085825.963,426.9543,283.448,202.9199,156.8699,134.5404,126.1466,129.8169,132.1043,142.5015,152.8987,0.96236,3.4083,10.9297,31.9235,83.0343,195.4218,415.2883,886.6832,1773.5485,3549.7682,7.029,18.6623,46.9588,112.5594,255.43900000000002,550.5283,1137.285,2336.1915,4689.1889,9368.8262
8,99.999,3.16e-07,3.41e-06,2.24e-05,7.290000000000001e-05,3.6700000000000004e-05,2.64e-05,3.96e-05,0.00016024,5.610000000000001e-05,0.00057598,4.6949,9.4313,-134.5345,-1124.6892,-419.969,-374.30300000000005,-632.6561,-3338.8173,-896.9695,-16058.4614,-638.0358,-160.9059,8.9843,17.8692,7.5543,-8.7447,3.6674,27.1609,11.354000000000001,23.5129,0.011068999999999999,0.15364,1.7071,11.7175,3.4821,5.4273,7.9828,59.9451,18.1964,238.3717,0.017952000000000003,0.25131,2.9189,25.6632,13.6154,16.5177,26.1327,83.5655,30.5709,494.1804,-64479966.78,-77577537.33,-102664678.0,-148716976.1,-241509741.1,-432017577.5,-853347934.6,-1674121382.0,-3495384006.0,-7285010116,1178.2569,707.8610000000001,467.3856,337.8647,273.79900000000004,244.5374,241.2602,236.5834,246.9806,257.3779,1038.5662,3665.3863,11767.5266,34343.4295,89226.4802,209802.2521,445732.8007,949466.4276,1898502.0690000001,3789918.03,7590.0827,20148.7825,50502.3213,121209.5678,275050.4719,593467.5658,1213508.435,2515115.17,4984904.367,9998925.813,100.0,1.22e-08,1.32e-07,8.659999999999999e-07,2.81e-06,1.41e-06,1.04e-06,1.55e-06,6.15e-06,2.17e-06,2.2100000000000002e-05,0.00067148,0.0057433,0.030614999999999996,0.074418,0.042613,0.028538,0.04,0.13152,0.056214,0.32466999999999996,-1741.7808,-785.8402,-379.4483,-248.0695,-196.8757,-182.1947,-159.7301,-126.007,-141.3512,-129.6288,4.0399999999999996e-07,5.6e-06,6.21e-05,0.00042651,0.00012803,0.00020275,0.00029574,0.0021761,0.00066506,0.0086555,6.520000000000001e-07,9.16e-06,0.00010639,0.00093387,0.00049183,0.00061476,0.00096536,0.0030266,0.0011173,0.017942,-22291.9242,-29604.4594,-42405.7938,-65588.552,-112544.7905,-211102.9429,-434580.393,-884492.7334,-1908180.9530000002,-4094751.912,427.1274,283.5459,202.99099999999999,156.9207,134.579,126.1805,129.8518,132.1343,142.5315,152.9287,0.9708200000000001,3.4354,11.0317,32.24,83.81299999999999,197.1812,418.9962,893.6069,1787.1418,3572.9956,7.1013,18.8287,47.402,113.8672,258.0441,556.8407,1144.0632,2359.9277,4711.4346,9428.5914
9,99.9991,4.69e-07,2.17e-06,4.11e-06,0.00012584,4.8e-05,3.53e-05,1.91e-05,7.6e-05,7.08e-05,0.00053627,6.654,4.8891,-32.4043,-6076.6101,-1769.9953,-1390.984,-649.9176,-3970.925,-3339.3231,-36975.5629,-518.6949,-154.1556,-47.9233,58.0515,44.1746,29.3268,8.4925,0.8354600000000001,28.4016,51.3493,0.033324,0.2767,0.81219,44.8515,32.7592,23.7315,10.4034,56.5416,44.3677,438.4255,0.11438,0.50852,1.8042,68.9,35.5763,43.8112,18.0046,112.1893,71.0218,749.7931,-166667557.9,-198792662.2,-260493825.4,-373504920.1,-600729714.5,-1066271627.0,-2096701103.0,-4097101561.0,-8536030790.0,-17755633107,1272.5116,760.8555,500.1859,360.1453,290.8164,258.9236,254.7707,249.2264,259.6237,270.02099999999996,2374.1284,8467.1767,27558.4525,80134.2625,207903.9127,489319.0582,1040507.28,2221088.934,4440701.779,8867632.62,17376.5104,45967.5198,117417.873,283294.8331,640335.6795,1379564.544,2851120.6210000003,5879716.932,11684371.95,23400170.98,100.0,1.49e-08,6.97e-08,1.34e-07,4.11e-06,1.55e-06,1.15e-06,6.15e-07,2.45e-06,2.3e-06,1.74e-05,0.00088119,0.0037088,0.0064583,0.1193,0.053534000000000005,0.038135,0.022073,0.066755,0.068202,0.33478,-1716.1078,-830.7986,-471.8565,-230.0853,-177.4624,-158.9454,-168.7285,-165.2541,-137.6775,-114.7238,5.06e-07,4.24e-06,1.27e-05,0.00070043,0.00050552,0.00036735,0.00016033,0.00086723,0.00068795,0.0067893,1.73e-06,7.82e-06,2.8100000000000002e-05,0.0010770999999999999,0.00054893,0.00067922,0.00027977,0.0017205999999999999,0.0011023,0.011607,-27351.6414,-36076.2436,-51385.310999999994,-79101.054,-135192.2165,-252786.7785,-519256.1222,-1054905.116,-2272892.0409999997,-4871946.867,444.8329,293.5013,209.1531,161.1066,137.7763,128.8836,132.3903,134.5098,144.907,155.3042,1.1340000000000001,4.0202,12.9393,37.7971,98.2367,231.1584,491.27099999999996,1048.1533,2096.1772,4191.2084,8.2956,21.9842,55.521,133.5242,302.3896,652.3802,1343.0375,2767.5847,5528.7612,11060.3011
