,det_entropy_shannon_1_coef,det_entropy_shannon_2_coef,det_entropy_shannon_3_coef,det_entropy_shannon_5_coef,det_entropy_shannon_6_coef,det_entropy_shannon_7_coef,det_entropy_shannon_8_coef,det_entropy_shannon_9_coef,det_entropy_shannon_10_coef,app_entropy_shannon_1_coef,app_entropy_shannon_2_coef,app_entropy_shannon_3_coef,app_entropy_shannon_4_coef,app_entropy_shannon_5_coef,app_entropy_shannon_6_coef,app_entropy_shannon_7_coef,app_entropy_shannon_8_coef,app_entropy_shannon_9_coef,app_entropy_shannon_10_coef,app_TKEO_std_6_coef,app_TKEO_std_7_coef,app_TKEO_std_10_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_8_coef,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_10_coef
0,1.7166,5.5625,0.04894,-866.9373,-54.5335,-319.9468,-165.257,-42.9705,-2336.3644,-34415952.86,-41505780.29,-54991273,-79779216.69,-129684181.7,-232253303.7,-459058057.8,-902118385.7,-1886558836,-3937753319,326874.1892,672089.5253,5547195.189,-57264.6625,-98433.1856,-184901.7535,-381059.351,-776445.2329,-1676725.978,-3601122.613
1,1.7545,5.9143,-13.8866,-273.5543,-210.4995,-14.093,-650.1035,-35.8525,-53.2382,-32588713.93,-39329560.14,-52167450.85,-75736302.45,-123243056.6,-220947833.1,-437011684.1,-859038700.4,-1796705970,-3750669277,314467.5684,642734.4635,5309694.85,-56599.2563,-97324.883,-182880.5032,-376979.9939,-768230.2335,-1659120.382,-3563560.603
2,1.3584,5.5814,-1.9531,-102.4895,-199.3564,1.1244,1.5957,1.908,-76.5344,-31864278.37,-38418848.45,-50880181.14,-73735268.71,-119780270,-214375881.7,-423881698.8,-832850139,-1742078585,-3636913180,305549.8724,628576.2761,5177908.6,-56258.4752,-96708.1119,-181663.4768,-374463.8517,-763056.6385,-1648032.246,-3539902.4
3,-97087.306,-279305.8601,-347307.971,-1018351.291,-1571525.953,-2432333.316,-4520938.77,-1187850.179,-4571329.829,-44854174.87,-50479679.82,-60032621.59,-76609325.9,-109696232.2,-176812107.4,-330129338.5,-625193831.3,-1306601988,-2722133496,314057.2871,703002.2409,4011147.82,-54370.929,-91686.1704,-169639.1274,-347128.0292,-704471.7514,-1522358.498,-3271399.011
4,-115393.5436,-173099.5546,-235961.641,-575986.6728,-1170597.572,-2613413.545,-2797296.701,-2228969.306,-20891393.44,-59737876.86,-66995068.86,-80313780.59,-100357703.7,-140671395.9,-225887933.1,-425927317.4,-786450935.2,-1640684357,-3391441982,713080.2915,1119327.343,8579124.177,-57514.4436,-95740.4317,-176007.1589,-359900.4024,-725678.1466,-1567705.131,-3367165.736
5,-281135.951,-420179.4093,-789923.5355,-1732154.75,-198753.4142,-2265595.535,-5175740.365,-109227.3929,-2025999.311,-60630765.15,-71567902.91,-92421633.13,-124987398.1,-197005856.8,-348913734.8,-678025107.1,-1305561339,-2727273256,-5683519396,775866.6321,1256857.68,8962888.516,-61131.0983,-104738.4875,-196500.4921,-403630.3745,-819418.599,-1768792.643,-3797381.452
6,6.6227,-5.694,-118.8591,-960.9864,-624.9199,-368.5131,-8806.5108,-11713.4046,-202287.6174,-66210980.74,-80017350.51,-106445817.5,-155367925.8,-254092613,-456929695.1,-902898726.9,-1776124116,-3707766501,-7726169625,596841.3891,1232526.288,10224241.85,-66187.6604,-113728.6244,-213539.0682,-439591.4525,-895134.1157,-1930965.718,-4143316.972
7,6.1011,4.5541,-451.3802,-3764.0935,-1202.1294,-2473.41,-25593.4786,-2506.9878,-93185.0457,-63958829.07,-76946805.48,-101674186.6,-147191573.1,-239045135.6,-427467881.8,-843540475.4,-1656537594,-3458755269,-7208656669,560974.5711,1179026.34,9688310.246,-65440.4212,-112296.3304,-210627.3955,-433521.4504,-882538.7595,-1903996.566,-4085825.963
8,4.6949,9.4313,-134.5345,-419.969,-374.303,-632.6561,-3338.8173,-896.9695,-16058.4614,-64479966.78,-77577537.33,-102664678,-148716976.1,-241509741.1,-432017577.5,-853347934.6,-1674121382,-3495384006,-7285010116,593467.5658,1213508.435,9998925.813,-65588.552,-112544.7905,-211102.9429,-434580.393,-884492.7334,-1908180.953,-4094751.912
9,6.654,4.8891,-32.4043,-1769.9953,-1390.984,-649.9176,-3970.925,-3339.3231,-36975.5629,-166667557.9,-198792662.2,-260493825.4,-373504920.1,-600729714.5,-1066271627,-2096701103,-4097101561,-8536030790,-17755633107,1379564.544,2851120.621,23400170.98,-79101.054,-135192.2165,-252786.7785,-519256.1222,-1054905.116,-2272892.041,-4871946.867
